Thrds	GZ Barrier	POSIX Barrier
-------------------------------------
5	4.001499	4.001625
5	4.001386	4.001759
5	4.001596	4.001219
5	4.001433	4.001428
	--------	--------
Avg:	4.0014785  -	4.00150775  = −0.00002925 sec.

50	4.003580	4.007152
50	4.003305	4.006540
50	4.003824	4.003781
50	4.003457	4.005126
	--------	--------
Avg:	4.0035415  -	4.00564975  = −0.00210825 sec.	

5000	4.061853	4.090218
5000	4.091942	4.094432
5000	4.065525	4.113138
5000	4.071001	4.069079
	--------	--------
Avg:	4.07258025 -	4.09171675 = −0.0191365 sec.

